site_id,tag,fg_declared,bg_declared,fg_composited,bg_composited,naive_cr,extended_cr,aa_naive,aa_extended,false_pos,false_neg
288,div,"rgb(204, 204, 204)","rgb(0, 102, 153)","rgb(204,204,204)","rgb(0,102,153)",3.89,3.89,0,0,0,0
288,span,"rgb(204, 204, 204)","rgb(255, 255, 255)","rgb(204,204,204)","rgb(255,255,255)",1.61,1.61,0,0,0,0
288,span,"rgb(255, 255, 255)","rgb(233, 138, 10)","rgb(255,255,255)","rgb(233,138,10)",2.59,2.59,0,0,0,0
288,span,"rgb(233, 138, 10)","rgb(255, 255, 255)","rgb(233,138,10)","rgb(255,255,255)",2.59,2.59,0,0,0,0
291,div,"rgb(86, 86, 86)","rgb(255, 255, 255)","rgb(86,86,86)","rgb(255,255,255)",7.34,7.34,1,1,0,0
291,div,"rgb(0, 0, 0)","rgb(0, 0, 0)","rgb(0,0,0)","rgb(0,0,0)",1,1,0,0,0,0
291,a,"rgb(255, 255, 255)","rgb(0, 0, 0)","rgb(255,255,255)","rgb(0,0,0)",21,21,1,1,0,0
291,a,"rgb(255, 255, 255)","rgb(26, 31, 35)","rgb(255,255,255)","rgb(26,31,35)",16.61,16.61,1,1,0,0
291,a,"rgb(23, 23, 23)","rgb(255, 255, 255)","rgb(23,23,23)","rgb(255,255,255)",17.93,17.93,1,1,0,0
291,span,"rgb(0, 0, 0)","rgb(0, 82, 242)","rgb(0,0,0)","rgb(0,82,242)",3.49,3.49,0,0,0,0
291,a,"rgb(0, 0, 0)","rgb(255, 255, 255)","rgb(0,0,0)","rgb(255,255,255)",21,21,1,1,0,0
291,div,"rgb(86, 86, 86)","rgb(242, 244, 248)","rgb(86,86,86)","rgb(242,244,248)",6.67,6.67,1,1,0,0
291,div,"rgb(86, 86, 86)","rgba(0, 0, 0, 0.6)","rgb(86,86,86)","rgb(102,102,102)",2.86,1.28,0,0,0,0
291,section,"rgb(86, 86, 86)","rgb(241, 244, 249)","rgb(86,86,86)","rgb(241,244,249)",6.66,6.66,1,1,0,0
291,button,"rgb(86, 86, 86)","rgb(0, 0, 0)","rgb(86,86,86)","rgb(0,0,0)",2.86,2.86,0,0,0,0
292,div,"rgb(0, 0, 0)","rgb(244, 248, 251)","rgb(0,0,0)","rgb(244,248,251)",19.67,19.67,1,1,0,0
292,button,"rgb(255, 255, 255)","rgb(0, 112, 60)","rgb(255,255,255)","rgb(0,112,60)",6.21,6.21,1,1,0,0
292,div,"rgb(0, 0, 0)","rgb(29, 112, 184)","rgb(0,0,0)","rgb(29,112,184)",4.06,4.06,0,0,0,0
292,a,"rgb(255, 255, 255)","rgb(29, 112, 184)","rgb(255,255,255)","rgb(29,112,184)",5.17,5.17,1,1,0,0
292,div,"rgb(0, 0, 0)","rgb(255, 255, 255)","rgb(0,0,0)","rgb(255,255,255)",21,21,1,1,0,0
292,button,"rgb(29, 112, 184)","rgb(210, 226, 241)","rgb(29,112,184)","rgb(210,226,241)",3.91,3.91,0,0,0,0
292,div,"rgb(11, 12, 12)","rgb(244, 248, 251)","rgb(11,12,12)","rgb(244,248,251)",18.34,18.34,1,1,0,0
293,div,"rgb(255, 255, 255)","rgb(0, 0, 0)","rgb(255,255,255)","rgb(0,0,0)",21,21,1,1,0,0
293,div,"rgba(255, 255, 255, 0.8)","rgb(0, 0, 0)","rgb(204,204,204)","rgb(0,0,0)",21,13.08,1,1,0,0
293,a,"rgb(255, 255, 255)","rgb(219, 0, 26)","rgb(255,255,255)","rgb(219,0,26)",5.21,5.21,1,1,0,0
293,div,"rgb(0, 0, 0)","rgb(255, 255, 255)","rgb(0,0,0)","rgb(255,255,255)",21,21,1,1,0,0
293,div,"rgb(0, 0, 238)","rgb(255, 255, 255)","rgb(0,0,238)","rgb(255,255,255)",9.4,9.4,1,1,0,0
